,ASIN,title,rating,review_count,price,product_type
80,B07598SX6S,"Acer Gaming Monitor 27 Inches KG271 Cbmidpx 1920 x 1080 144Hz Refresh Rate AMD FREESYNC Technology (Display Port, HDMI & DVI Ports) Black",4.6,3937,249.99,monitor
81,B01LPNKFK0,LG 24UD58-B 24-Inch 4K UHD IPS Monitor with FreeSync,4.6,718,296.99,monitor
82,B08CVTTNN4,"LG 27UN850-W 27 Inch Ultrafine UHD (3840 x 2160) IPS Display with VESA DisplayHDR 400, USB Type-C and 3-Side Virtually Borderless Display with Height/Swivel/Pivot/Tilt Adjustable Stand, Silver",4.6,130,449.99,monitor
83,B0713M1H6V,"Samsung SH650 Series 27 inch FHD 1920x1080 Desktop Monitor for Business, HDMI, DisplayPort, USB Hub, VESA mountable, 3-Year Warranty (S27H650FDN)",4.7,141,229.99,monitor
84,B082X41YXM,"SAMSUNG S27R650FDN, SR650 Series 27 inch IPS 1080p 75Hz Computer Monitor for Business with VGA, HDMI, DisplayPort, and USB Hub, 3-Year Warranty",4.6,947,229.99,monitor
85,B0742D9CDX,"Acer G276HL Kbix 27"" Full HD (1920 x 1080) VA Zero Frame Monitor (HDMI & VGA Ports)",4.6,886,154.99,monitor
86,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
87,B07CS3JGPC,"Samsung 32 inch UJ59 4k monitor (LU32J590UQNXZA) - UHD, 3840 x 2160p, 60hz, 4ms, Dual monitor, laptop monitor, monitor stand / riser / mount compliant, AMD FreeSync, Gaming, HDMI, DP, Black",4.5,734,319.99,monitor
88,B07NHSJ1RF,"LG UltraGear 24GL600F-B 24 Inch Full HD Gaming Monitor with Radeon FreeSync Technology, 144Hz Refresh Rate, 1ms Response Time - Black",4.7,943,156.99,monitor
89,B07FBS36W2,"Samsung 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black",4.4,447,369.99,monitor
90,B088P87LHX,"GIGABYTE G32QC 32"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, 94% DCI-P3, VESA Display HDR400, FreeSync Premium Pro",4.6,1222,349.99,monitor
91,B078HWN5CX,"BenQ EL2870U 28 inch 4K Monitor for Gaming 1ms Response Time, FreeSync, HDR, eye-care, speakers",4.6,2729,299.99,monitor
92,B01H5KKQTM,BenQ ZOWIE XL2411P 24 Inch 144Hz Gaming Monitor 1080P 1ms Black eQualizer & Color Vibrance for Competitive Edge Does not Support 120Hz on console,4.7,3746,199.0,monitor
93,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
94,B0126X3D9S,"Flexzion Privacy Screen Filter Anti-Glare Protective Film Damage Scratch Proof for 24"" Inch Widescreen LCD Monitor Display PC Desktop Laptop Computer (16:9 Ratio)",3.4,24,58.99,monitor
95,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
96,B00QRMFEAQ,MarCELL Cellular Temperature/Humidity Monitor (Verizon),4.6,299,189.0,monitor
