ASIN,title,rating,review_count,price,product_type
B07HL1QJSZ,"Kids Headphones, Riwbox CT-7S Cat Ear Bluetooth Headphones 85dB Volume Limiting,LED Light Up Kids Wireless Headphones Over Ear with Microphone for iPhone/iPad/Kindle/Laptop/PC/TV (Purple&Green)",4.6,3924,32.98,headphone
B07RM4ZGH4,"Mpow Jaws Upgraded Gen5 Bluetooth Headphones 18H Playtime, V5.0 Wireless Neckband Headphones, Bluetooth Headset Magnetic Earbuds, Call Vibrate & CVC6.0 Noise Cancelling Mic, Black",4.3,25230,29.99,headphone
B07MF6QJBM,"POWMEE M1 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children (Blue)",4.7,7693,12.99,headphone
B07L6X8KFH,"Wholesale Bulk Earphone Earbud Headphone-Kaysent(KHP-10B) 10 Pack Wholesale Headphones for School,Airplane,Hospital,Students,Kids and Adults",4.1,930,30.98,headphone
B0876349QT,APEKX Bluetooth Headphones True Wireless Earbuds with Charging Case IPX7 Waterproof TWS Stereo Sound Earphones Built-in Mic in-Ear Headsets Deep Bass for Sport Running Black,4.3,2461,38.89,headphone
B077YG22Y9,COWIN E7 PRO [Upgraded] Active Noise Cancelling Headphones Bluetooth Headphones with Microphone/Deep Bass Wireless Headphones Over Ear 30H Playtime for Travel/Work/TV/Computer/Cellphone - Black,4.4,24422,79.99,headphone
B07RM8WQ8G,"Sony WHXB900N Noise Cancelling Headphones, Wireless Bluetooth Over the Ear Headset with Mic for Phone-Call and Alexa Voice Control- Black (WH-XB900N/B)",4.6,6056,148.0,headphone
B08QJ2GD6V,"True Wireless Earbuds,TWS Bluetooth 5.0 Headphones with Wireless Charging Case,Occiam Touch Control Hi-Fi Stereo Bluetooth Earphones with mic,Waterproof & 30H Playtime Headset for Sports Running Work",4.6,453,25.88,headphone
B07L4JFR3Q,"Bulk Classroom Headphones (10 Pack) - On-Ear Premium Student Headsets: Perfect for Kids K-12 in Classrooms, Schools & Class Sets (Great Value, Durable, Noise Reducing, Comfortable Fit, Easy to Clean)",4.3,375,79.99,headphone
B08NZN8N3W,"Wireless Earbuds, Mpow M12 Bluetooth Earbuds, Wireless Charging & USB-C Charging Case Bluetooth Headphones Wireless Earphones w/Mic, Bass Sound/IPX8 Waterproof/Touch Control/25 Hrs/Dual Modes, Blue",4.5,6883,25.49,headphone
B07HD23XGD,"Bluetooth Headphones, Riwbox XBT-880 Wireless Bluetooth Headphones Over Ear with Microphone and Volume Control Wireless and Wired Foldable Headset for iPhone/iPad/PC/Cell Phones/TV (Black&Gold)",4.3,2581,32.98,headphone
B08FT95LK2,TOZO T12 Wireless Earbuds Bluetooth Headphones Premium Fidelity Sound Quality Wireless Charging Case Digital LED Intelligence Display IPX8 Waterproof Earphones Built-in Mic Headset for Sport Blue,4.4,9676,39.99,headphone
B08FWNQD5C,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",4.6,164,16.97,headphone
B08HN1S9D9,"Riwbox BN5 Bluetooth Headphones Over Ear, Folding Stereo Headphones Wired Wireless with Mic Compatible for iPhone/iPad/TV/PC/Online Class/Home Office (Black&Gold)",4.3,65,29.89,headphone
B088LR8C8P,"Sleep Headphones Sleeping Headphones Bluetooth, Bluetooth Headband Headphones with Built-in Thin Speakers, Comfortable for Sleeping Running Yoga (Grey)",4.3,1730,19.99,headphone
B08H4Y2S6B,"Tiksounds Bluetooth Earbuds, Noise Cancelling Headphones True Wireless Earbuds in Ear, IPX7 Waterproof Headphones 36H Playtime Mini Wireless Earphone",4.3,2136,32.99,headphone
B088F9BZJM,"Kids Headphones, Mpow CHE2 Wired Headphones for Kids Teens, Children Headphones with Volume Limit, Foldable Adjustable On-Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",4.6,1704,14.99,headphone
B00Y4S55IQ,"Samsung Active InEar Headphones for Universal/SmartPhones, Retail Packaging - Black Sapphire - EO-EG920LBEGUS",4.4,3708,17.99,headphone
B082TWSSTM,"Mpow Bluetooth Headphones, 60 Hours Playtime Wireless Headphones Over Ear with Microphone, Bluetooth 5.0, HiFi Stereo Sound, Protein Earpads, Wired Wireless Headset for Kids, Adults, Home Office, TV",4.6,5093,25.0,headphone
B08CKVL7YH,"Earbuds, Vogek Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with S/M/L Eartips Compatible with Samsung, Android Phone and More-Gold",4.4,19487,7.99,headphone
B00I3LV3P4,Sony Foldable Headphones with Smartphone Mic and Control - Metallic Blue,4.4,2412,29.99,headphone
B07L12Y4SN,"Wholesale Bulk Headphones Earphones Earbuds - Kaysent(KHP-25Mixed) 25 Packs Mixed Colors(Each 5 Pack) Stereo Headphone for School, Classroom, Airplane, Hospiital, Students,Kids and Adults",4.3,474,72.98,headphone
B07VP4L68P,Skullcandy Crusher ANC Personalized Noise Canceling Wireless Headphone - Black/Tan,4.6,1040,249.99,headphone
B00HVLUR18,"Audio-Technica ATH-M20x Professional Studio Monitor Headphones, Black",4.6,10260,49.0,headphone
B06XWG12QS,"Mpow 071 USB Headset/ 3.5mm Computer Headset with Microphone Noise Cancelling, Lightweight PC Headset Wired Headphones, Business Headset for Skype, Webinar, Cell Phone, Call Center",4.4,20672,32.99,headphone
B08K97YC31,"3 Pack Lightning to 3.5 mm Headphone Jack Adapter, Apple MFi Certified iPhone Audio Dongle Cable Earphones Headphones Converter Compatible with iPhone 11/11 Pro/11 Pro Max/SE/X XR XS XS Max 8 7",3.9,498,12.99,headphone
B07PFV1NQX,"APPHOME [Upgrade] Foldable Headphone Stand Hanger Holder Aluminum Headset Soundbar Stand Clamp Hook Under Desk Space Save Mount Fold Upward Not in Use, Universal Fit Gaming Headphones, Black",4.8,2498,12.99,headphone
B08B8X4Q3M,"Jabra Evolve2 65 MS Wireless Headset with Link380a, Mono, Black – Wireless Bluetooth Headset for Calls and Music, 37 Hours of Battery Life, Passive Noise Cancelling Headphones",4.2,411,146.99,headphone
B083ZVN4L9,"Sleep Headphones Bluetooth 5.0 Sleeping Headphones Headband 10H Music - Elastic Comfortable Wireless Headband Headphone for Side Sleeper, Gifts for Men Women Birthday Valentine's Day",4.4,2006,19.86,headphone
B085RLPPS4,True Wireless Stereo Earbuds IPX8 Waterproof Bluetooth 5.0 Headphones 24 Hrs Total Playback with Touch Control Support Single &Twin Mode,4.3,10362,22.69,headphone
B00NG57H4S,"Sony MDRZX110NC Noise Cancelling Headphones, Black",4.3,6204,28.0,headphone
B07GGCM89X,"Beexcellent Gaming Headset for PS4 Xbox One PC Mac Controller Gaming Headphone with Crystal Stereo Bass Surround Sound, LED Light & Noise-Isolation Microphone",4.5,17380,19.69,headphone
B07DMDD776,"AfterShokz AS600BK Titanium Open Ear Wireless Bone Conduction Headphones Compatible with Bluetooth, Black",4.5,14318,79.95,headphone
B083BT3VXZ,PALOVUE Lightning Headphones Earphones Earbuds Compatible iPhone 12 11 Pro Max iPhone X XS Max XR iPhone 8 Plus iPhone 7 Plus MFi Certified with Microphone Controller SweetFlow (Black),4.4,5538,20.99,headphone
B08KTCT1PV,"Kids Bluetooth Headphones Light Up, Jelly Comb Wireless Headphones with Noise Cancelling Microphone, Foldable Stereo Bass Headset, Volume Control Headset for Boys Girls Teens School Travel",4.9,94,29.99,headphone
B082KGX16H,"Mpow CHE1 Kids Headphones Boys, Wired Headphones for Kids Teens Children with Volume Limit 94dB, Foldable Adjustable On Ear Headphones for School, Travel, Compatible with Cellphones, Tablets, PC",4.6,5160,15.99,headphone
B08FG5TD26,Vislla Bluetooth Headphones Sports Wireless Earbuds TWS BT5.0 Stereo Deep Bass Waterproof Earphones Noise Canceling Headset with Battery Display Charging Case & Built-in Mic for Running/Workout/Gym,4.6,1028,29.99,headphone
B08B8XVWZR,"Jabra Evolve2 85 UC Wireless Headphones with Link380a & Charging Stand, Stereo, Black – Wireless Bluetooth Headset for Calls and Music, 37 Hours of Battery Life, Advanced Noise Cancelling Headphones",3.9,168,403.9,headphone
B07YGZ7Q9N,"Sony Wireless Headphones WH-CH510: Wireless Bluetooth On-Ear Headset with Mic for phone-call, Blue",4.5,9830,58.0,headphone
B07H2NQMLD,Kids Headphones-noot products K22 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane/Plane/Tablet (Teal/Lime),4.7,5038,12.99,headphone
B08FRK33ZN,"Active Noise Cancelling Headphones-SuperEQ S2 Bluetooth On Ear Headphones with CVC 8.0 Mic, Deep Bass, 25H Playtime, 40mm Drivers, Memory Foam Ear Cups for Travel Online Class Office (Black)",4.6,458,39.99,headphone
B081C5GG1R,"USB C to 3.5mm Headphone Adapter[2 Pack],NIMASO Headphone Jack Adapter Type C to 3.5mm Audio Cable Compatible with Samsung Galaxy S20 ,Pixel 4/3/2 XL,Huawei P40/P30 Pro/P20,Oneplus 7 and More",4.1,5209,11.49,headphone
B08Q797WDT,"Sleep Headphones Bluetooth Headband, Wireless Headband Headphones Headsets with Thin Speakers, Sleep Earbuds, Sleeping Headphones for Workout Running Yoga Sports Gift for Men Women",4.8,762,21.99,headphone
B083WCNYJ4,"Wireless Earbuds Bluetooth Headphones,5.0 HD Stereo Sound Wireless Headset, IPX7 Waterproof Headphones Built-in Mic, Noise Canceling,Long Playtime, with Charging Case (Q62-earbud)",4.1,117,16.99,headphone
B07QNFGH61,"NANYI 1/4'' Male to 1/8'' Female Stereo Headphone Adapter Connect Cable, Upgrade 6.35mm Jack Stereo Socket Male to 3.5mm Jack Stereo Plug Female for Headphone, Amp Adapte, Black 1-Pack",4.6,3778,6.68,headphone
B07PX8TXTX,Beats Studio3 Wireless Over-Ear Headphones – The Beats Skyline Collection - Midnight Black (Renewed),4.5,3527,179.0,headphone
B084SBWWQ5,Skullcandy Indy Evo True Wireless In-Ear Earbud - Chill Grey,4.1,7909,59.99,headphone
B088NKF1RK,"Kids Headphones Wireless Headphones for Kids Unicorn Headphones for Girls Bluetooth w/Microphone Adjustable Headband, Over On Ear Headset for School/Kindle/Tablet/PC Online Study (Pink, Wireless)",4.4,1197,29.98,headphone
B07TPLZY74,"MUSICOZY Sleep Headphones Sleepphones Bluetooth Headband Wireless Sleeping Eye Mask, Noise Cancelling Headphone Sleep Earbuds Office Travel Gifts for Men Women Cool Tech Gadgets Unique Boys Girls",4.6,2737,24.99,headphone
B07J2Z5DBM,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,4.3,164594,29.98,headphone
B07T6FNLQV,"Sleep Headphones,3D Sleep Mask Bluetooth 5.0 Wireless Music Eye Mask, LC-dolida Sleeping Headphones for Side Sleepers, with Ultra-Thin HD Stereo Speakers Perfect for Sleeping, Air Travel, Meditation",4.4,5426,25.99,headphone
B07ZYTS86X,"Headphone Stand, Desktop Headset Holder - Lamicall Desk Earphone Stand, for All Headsets Such as HyperX Gaming Headphones, Beats/Sony/Sennheiser Music Headphones - Black",4.8,2599,14.99,headphone
B089SQHF5B,"Mpow CH6 Plus Kids Bluetooth Headphones with Microphone Over Ear for Teens up to 15 Hours Playtime, Bluetooth 5.0 Wireless Headsets with HD Stereo Sound, for School, Travel, Cellphones, Tablets, PC",4.6,1412,20.99,headphone
B08431V1JG,OEM ElloGear Earbuds Stereo Headphones for Samsung Galaxy S10 S10e Plus Cable - Designed by AKG - with Microphone and Volume Buttons (Black),4.5,2422,18.95,headphone
B081Q89ZT5,"Mpow HC6 USB Headset with Microphone, Comfort-fit Office Computer Headphone, On-Ear 3.5mm Jack Call Center Headset for Cell Phone, 270 Degree Boom Mic, in-line Control with Mute for Skype, Webinar",4.4,13313,35.99,headphone
B08N5QT8YR,"Lamicall Headphone Stand, Headset Hanger - 360 Degree Rotation Earphone Hook Holder Mount, Table Headphone Stand with Cable Organizer, Gaming Headset Clamp for HyperX, Razer, Sony, Sennheiser - Black",4.7,105,12.99,headphone
B08CH3DWMS,"PeohZarr Headphones with Microphone, Over Ear Headphones with Sound Sharing Function, 3.5mm Tangle-Free Foldable & Portable Wired Headphones for Home Office Travel MP3 Kindle Phone Laptop",4.7,498,15.99,headphone
B0823KH687,"LUDOS Clamor Wired Earbuds in Ear Headphones with Microphone, Earphones with Mic and Volume Control, Memory Foam, Reinforced Cable, Bass Compatible with iPhone, Apple, iPad, Computer, Laptop, PC",4.3,20733,19.97,headphone
B0829H1W83,"V4 Headphones Earphones Earbuds Earphones, Noise Islating, High Definition, Stereo for Samsung, iPhone,iPad, iPod and Mp3 Players (Mixed)",4.0,551,9.99,headphone
B08BLTVRLT,"LETSCOM Active Noise Cancelling Headphones, Wireless Over-Ear Headphones, Bluetooth Headphones with Microphone, 35H Playtime, Deep Bass, Comfortable Protein Earpads for Travel Home Office-Black Red",4.4,476,29.99,headphone
B07R4B8LSS,FosPower Kids Headphones with LED Light Up Cat Ears 3.5mm On Ear Audio Headphones for Kids with Laced Tangle Free Cable (Max 85dB) - Hot Pink/Purple,4.6,1494,17.99,headphone
