Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
"Dell Inspiron 15.6-inch HD Display Laptop PC, Intel Core i3-7130U 2.7GHz Processor, 8GB DDR4, 128GB SSD, Stereo Speakers, WiFi, Bluetooth, MaxxAudio, HDMI, No DVD, Intel HD Graphics 620, Windows 10",B07H9L93KW,,1 Lithium Metal batteries required. (included),6499,Dell,Integrated,Non-Touch | i3-7130U | 128GB SSD,DDR4 SDRAM,2018-09-12,128,Intel UHD Graphics 620,PC,15 x 10.2 x 0.9 ,Dell Inspiron I3567,,Windows 10,AC & Battery,Intel,2,15 x 10.2 x 0.9 ,1366x768,Dell Inspiron I3567,15.6
"Samsung Galaxy Book S 13.3"" FHD Touchscreen | Intel Core i5 Processor | 8GB Memory | 256GB SSD (NP767XCM-K01US), Mercury Gray",B088XYCZ79,17,1 Lithium ion batteries required. (included),3358,Samsung Electronics,Integrated,Gray,DDR4 SDRAM,2020-07-17,256,,PC,12.02 x 8 x 0.46 ,NP767XCM-K01US,1920 x 1080 ,Windows 10 Home,Battery Powered,Intel,1,12.02 x 8 x 0.46 ,,Galaxy Book S,13.3
"Dell Inspiron 15 5593: 10th Gen Core i5-1035G1, 256GB SSD, 8GB RAM, 15.6"" Full HD Display, Backlit Keyboard, Windows 10",B0826DJYG1,,,8596,Dell,Integrated,Silver,DDR4 SDRAM,2019-12-01,64,Intel UHD Graphics,PC,,5593,1920 x 1080,Windows 10,,Intel,4,,1920x1080,Inspiron 15,15.6
"HP - Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame, Natural Silver",B07QRZJRKK,,1 Lithium ion batteries required.,10564,HP,Integrated,,DDR4 SDRAM,2019-11-04,128,Intel UHD Graphics 605,PC,11 x 7.7 x 0.7 ,6HS56UA,,Windows 10,,Intel,2,11 x 7.7 x 0.7 ,,HP Pavilion,11.6
"Lenovo Ideapad 14inch Laptop, Intel Pentium Gold 5405U Dual Core 2.3GHz Processor, 4GB RAM, 128GB SSD Storage, Intel UHD Graphics, WiFi, Bluetooth, HDMI, Windows 10 (Renewed)",B0843172YB,,1 Lithium ion batteries required. (included),26124,Lenovo,Integrated,,DDR4 SDRAM,2020-01-21,,Intel,PC,14 x 10 x 0.8 ,Lenovo Ideapad,1366 x 768 ,Windows 10,,Intel,2,14 x 10 x 0.8 ,1366x768,Lenovo Ideapad 14inch,14
"HP Stream 14 Pink - Celeron N4000 - 4 GB RAM - 64 GB eMMC Storage - 14"" LCD - Wireless - Bluetooth - Webcam - Windows 10 S",B089S9N86P,14,1 Lithium ion batteries required. (included),4263,HP,,,DDR4 SDRAM,2020-09-28,64,,,,14-cb172wm,,Windows 10 S,Battery Powered,Intel,,,,HP Stream,14
"Asus C423NA Chromebook 14"" HD Laptop (Intel Dual Core Celeron Processor N3350, 4GB DDR4 RAM, 64GB SSD) Webcam, WiFi, Bluetooth, Type-C, Google Chrome OS - Silver (Renewed)",B07ZT682VS,,1 Lithium ion batteries required. (included),4645,ASUS,Integrated,,SDRAM,2019-09-17,64,Intel HD Graphics 500,PC,,C423NA HD,1366 x 768 ,Chrome OS,Battery Powered,Intel,2,,,Asus Chromebook,14
"HP 14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 8GB DDR4 128GB SSD Backlit Keyboard Windows 10 with S Mode",B081945D2S,5,1 Lithium ion batteries required.,11996,HP,Integrated,,DDR4 SDRAM,2019-11-10,128,Intel UHD Graphics,PC,12.8 x 8.9 x 0.7 ,14-dq1033cl,1920 x 1080,Windows 10,,Intel,4,12.8 x 8.9 x 0.7 ,1920x1080,14-dq1033cl,14
"HP Pavilion x360 2-in-1 14"" HD Touch-Screen Laptop, Intel Core i3-1005G1, HDMI, USB-C, Wi-Fi, Webcam, Bluetooth, Natural Silver, Intel UHD Graphics, Windows 10 Home in S Mode (8GB RAM |128GB SSD)",B08FC4VGNG,,1 Lithium ion batteries required. (included),6991,HP,,Natural Silver,DDR4 SDRAM,2020-08-06,128,Intel® UHD Graphics,PC,8.7 x 12.8 x 0.7 ,HP Pavilion,1366 x 768 ,Windows 10 S,Battery Powered,Intel,2,8.7 x 12.8 x 0.7 ,,HP Pavilion,14
"2020 Lenovo IdeaPad Flex 5 2-in-1 14"" Full HD IPS Touchscreen Convertible Laptop PC, AMD Ryzen 3 4300U Quad-Core Processor, 4GB RAM, 128GB SSD, HDMI, Webcam, Windows 10 S, Graphite Gray",B08MTFBY8D,10,1 Lithium ion batteries required. (included),8830,Lenovo,Integrated,,DDR4 SDRAM,2020-11-05,128,Integrated AMD Radeon Graphics,PC,,81X5GH2HUS,1920x1080 ,Windows 10 S,Battery Powered,AMD,2,,,Lenovo Ideapad,14
"Laptop 14.1 inch notebook computer, IPS display, Intel 64-bit quad-core Atom x5 E8000 processor, 4GB RAM, 64GB eMMC ROM, scalable 1TB HDD solid state drive, 10000mAh high battery life, Windows 10 Home",B08G141GFT,,,17210,YITAOERA,Integrated,,DDR3 SDRAM,2020-08-17,,1366*768,PC,,NB142,1366*768 ,Windows 10,Battery Powered,Intel,2,,,NB142,14.1
"Dell Inspiron 5000 15.6 Inch FHD 1080P Touchscreen Laptop (Intel Core i7-1065G7 up to 3.9GHz, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Backlit KB, HDMI, WiFi, Bluetooth, Win10)",B0826R1P4G,,,14423,Dell,Integrated,,DDR4 SDRAM,2019-12-01,,Intel UHD Graphics,PC,14.33 x 9.8 x 0.71 ,Dell,1920 x 1080,Windows 10 Home,Battery Powered,Intel,4,14.33 x 9.8 x 0.71 ,1920 x 1080,Dell,15.6
"2020 15.6 inch Laptop, IPS Display, Intel 64-bit Quad-core celeron_j3455 Processor, 6GB RAM, 256GB SSD, scalable 1TB SSD Solid State Drive, 10000mAh high Battery Life, Windows 10 Pro",B08GY11KYR,,,22367,YITAOERA,Integrated,,DDR3 SDRAM,2020-08-28,256,1920x1080,PC,,NB15A,1920x1080 ,Windows 10 Pro,Battery Powered,Intel,4,,,NB15A,15.6
"Lenovo IdeaPad 3 15.6"" HD Touchscreen LED-Backlit Business Laptop, Intel Core i3-1005G1, 8GB DDR4, 256GB PCIe SSD, Webcam, WiFi, Bluetooth, HDMI, Windows 10 Home in S Mode w/ GCube 32GB Flash Drive",B08HMFKXD5,,,41369,Lenovo,Dedicated,Almond,DDR4 SDRAM,2020-02-26,256,Intel UHD Graphics,PC,13.8 x 9.1 x 0.75 ,IdeaPad 3,1366x768 ,Windows 10 Home,AC & Battery,Intel,2,13.8 x 9.1 x 0.75 ,1366x768,Ideapad 3,15.6
"ASUS ZenBook 14 Ultra-Slim Laptop 14” Full HD NanoEdge Bezel Display, Intel Core i7-1165G7, 8GB RAM, 512GB PCIe SSD, NumberPad, Thunderbolt 4, Windows 10 Home, Pine Grey, UX425EA-EH71",B08KH9SX3G,,1 Lithium ion batteries required. (included),2194,ASUS,Integrated,Pine Grey,DDR4 SDRAM,2020-10-07,512,Intel Iris Xe Graphics,PC,12.6 x 8.2 x 0.55 ,UX425EA-EH71,1920 x 1080 ,Windows 10 Home,,Intel,4,12.6 x 8.2 x 0.55 ,1920 x 1080 pixels,ZenBook 14,14
"2020 Lenovo Yoga C740 14"" FHD IPS Touchscreen Premium 2-in-1 Laptop, 10th Gen Intel Quad Core i5-10210U, 8GB RAM, 256GB PCIe SSD, Backlit Keyboard, Fingerprint Reader, Windows 10, Aluminum Chassis",B08BNZ5NTG,13,1 Lithium Polymer batteries required. (included),7869,Lenovo,,Mica,DDR4 SDRAM,2020-06-23,256,Intel UHD Graphics,PC,12.7 x 8.4 x 0.7 ,LENOVO,1920 x 1080,Windows 10,AC & Battery,Intel,4,12.7 x 8.4 x 0.7 ,1920 x 1080,Yoga C740 2-in-1,14
"HP Chromebook 11 G4 11.6 Inch Laptop (Intel N2840 Dual-Core, 2GB RAM, 16GB Flash SSD, Chrome OS), Black (Renewed)",B07CB2GTH2,11,1 Lithium ion batteries required. (included),2457,HP,Integrated,Black,Unknown,2018-04-02,16,Intel HD Graphics,PC,,,1366 x 768 ,Chrome OS,,Intel,2,,,Chromebook,11.6
Laptop Computers 14-Inch Windows-10 Notebook - WinBook Intel Celeron Processor 6GB RAM 64GB ROM HD IPS Display Dual Band WiFi Numeric Touchpad Removal Webcam HDMI (Grey),B08RNGZS1G,,1 Lithium Polymer batteries required. (included),3194,Winnovo,"Intel HD Graphic 500, Integrated",Gray,DDR3 SDRAM,2020-12-30,6,Intel HD Graphics 500,PC,12.99 x 8.66 x 0.63 ,WinBook,1366 x 768 ,Windows 10 S,AC & Battery,Intel,2,12.99 x 8.66 x 0.63 ,1366*768 HD IPS,WinBook,14
"Sager NP7858DW 15.6-Inch Thin Bezel FHD 144Hz Gaming Laptop, Intel i7-10875H, RTX 2060 6GB, 16GB RAM, 1TB NVMe SSD, Windows 10",B087Z6DDS5,,1 Lithium ion batteries required. (included),64883,Sager,Dedicated,,SDRAM,2020-05-01,,NVIDIA GeForce RTX 2060,PC,10.16 x 14.21 x 1.1 ,NP7858DW,1920x1080,Windows 10,Battery Powered,Intel,8,10.16 x 14.21 x 1.1 ,1920x1080,NP7858DW,15.6
"HP Stream 14"" HD Laptop PC, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 S, Blue",B08LVGDRG8,11,1 Lithium ion batteries required. (included),12249,HP,,,DDR4 SDRAM,2020-10-26,64,Intel UHD Graphics 600,PC,13.27 x 8.9 x 0.7 ,14CB171,1366x768 ,Windows 10 S,AC & Battery,Intel,2,13.27 x 8.9 x 0.7 ,1366x768,14-stream,14
"Dell Latitude 3510 15.6"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10510U 10th Gen 1.8GHz Quad-core (4 Core) - 8GB RAM - 256GB SSD",B08BB2TH49,,1 Lithium Polymer batteries required.,23209,Dell,Integrated,,DDR4 SDRAM,2020-06-16,256,,PC,9.76 x 14.23 x 0.71 ,3510,1920 x 1080 ,Windows 10 Pro,,Intel,1,9.76 x 14.23 x 0.71 ,,J4X67,15.6
"ASUS ROG Zephyrus G14 14"" VR Ready 120Hz FHD Gaming Laptop,8Core AMD Ryzen 9 4900HS(Beat i7-10750H),16GB RAM,1TB PCIe SSD,Backlight,Wi-Fi 6,USB C,NVIDIA GeForce RTX2060 Max-Q,Win10 (Moonlight White)",B08DDGJQDW,,4 Lithium ion batteries required. (included),1645,ASUS,Dedicated,Moonlight White,DDR DRAM,2020-07-21,1 TB,NVIDIA GeForce RTX 2060 Max-Q,PC,12.8 x 8.7 x 0.7 ,ASUS ROG,1920 x 1080 ,Windows 10,Battery Powered,AMD,8,12.8 x 8.7 x 0.7 ,,ASUS ROG,14
HP 15-dw 15.6-inch HD 1366 x 768 WLED Intel Celeron N4020 4GB 1TB Hard Drive Win 10 Laptop,B08S7M91MW,,1 Lithium ion batteries required. (included),49305,,,,,2021-01-06,,,,,,,,,,,9.1 x 9.1 x 9.1 ,,,
"Laptop 14 inch, VUCATIMES 14'' FHD Laptop, Intel Celeron Quad-Core, 6GB RAM 128GB SSD, Dual Band Wi-Fi Laptop Computer, Removable Webcam, Numeric Keypad, Blue",B08BRS78G7,,1 Lithium Polymer batteries required. (included),18652,,,,,2020-09-23,,,,,VucaBook 14,,,,,,12.8 x 8.66 x 0.67 ,,,
"Dell Chromebook 3120 Intel celeron n2840 2.16Hgz, 16GB Storage 4gb Ram (Renewed)",B07HMJY8NR,10,1 A batteries required. (included),755,Dell,Integrated,Black,DDR3 SDRAM,2018-09-24,16,Intel HD Graphics,PC,11.2 x 16.3 x 3 ,XDGJH-cr,1366 x 768,Chrome OS,Battery Powered,Intel,2,11.2 x 16.3 x 3 ,1366 x 768,Chromebook 11,11.6
"Used Like New Notebook Thinkpad T460s Ultrabook Laptop 14inch Display, Intel i5-6300U 2.6GHz, 4GB RAM, 256GB SSD, Webcam Windows 10 Pro",B08QJFS5G5,,1 Lithium ion batteries required. (included),28617,Ubrands,Integrated,,DDR3L-1600 SDRAM,2020-09-25,,INTEL,PC,,T460,1024*1024 ,Windows,,Intel,2,,,T460,14.1
Refurbished laptops Elite Book 840 G2 14in HD Laptop Computer Intel Core i5-5300U up to 2.70GHz - 8GB RAM 500GB HDD - WiFi - Windows 10 Professional,B08K32Y6V4,,1 Lithium ion batteries required. (included),32420,N&n,Integrated,,DDR3L-1600 SDRAM,2020-09-25,,INTEL,PC,,840 G2,1024*1024 ,Windows,,Intel,2,,,840 G2,14
"Evoo 14.1” Ultra Slim Notebook - Elite Series, FHD Display, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8GB RAM, 256GB SSD, HD Webcam, Windows 10 Home, Silver, EVC141-12SL",B08KTV2F47,,1 Lithium Polymer batteries required. (included),39274,Evoo,Integrated,Black,DDR4 SDRAM,2020-10-07,256,AMD Radeon Vega 8,PC,,EVC141-12SL,,Windows 10 Home,,AMD,1,,,Evoo Elite Series,14.1
"HP EliteBook 840 G3 Laptop 14"" FHD Display, Intel Core i5-6300U 2.4Ghz, 256GB SSD, 16GB DDR4 RAM, Webcam, WiFi, Windows 10 Pro (Renewed)",B07WJVPGYP,,1 Lithium ion batteries required. (included),2351,HP,Integrated,,SDRAM,2019-08-14,256,Intel HD Graphics 520,PC,9.3 x 13.3 x 0.74 ,,1920 x 1080,Windows 10,AC & Battery,Intel,2,9.3 x 13.3 x 0.74 ,1920x1080,EliteBook 840 G3,14
"ASUS - TUF Gaming 15.6"" Full HD Laptop - Intel Core i5-10300H- 8GB Memory - 256GB SSD -NVIDIA GeForce GTX 1650 Ti – Black",B07WNGFTN2,4,1 Lithium ion batteries required. (included),4454,ASUS,Dedicated,Black,DDR4 SDRAM,2019-08-19,256,NVIDIA GeForce GTX 1650 Ti,PC,14.2 x 10.3 x 1.1 ,FX506LI-BI5N5,1920 x 1080 ,Windows 10,AC & Battery,Intel,4,14.2 x 10.3 x 1.1 ,1920 x 1080,Gaming Laptop,15.6
"2020 Lenovo IdeaPad 3 15.6"" Laptop Intel Core i3-1005G1 8GB RAM 256GB SSD Windows 10 in S Mode Blue, 4-10.99 Inches",B088T671HD,7.5,1 Lithium ion batteries required.,14941,Lenovo,Integrated,Blue,DDR4 SDRAM,2020-05-19,256,Intel UHD,PC,14.1 x 7.95 x 0.7 ,81WE008HUS,1366x768 ,Windows 10,Battery Powered,Intel,2,14.1 x 7.95 x 0.7 ,1024×768,81WE008HUS,15.6
"HP Stream 14-inch Laptop, Intel Celeron N3060 Processor, 4 GB SDRAM Memory, 32 GB eMMC storage, Windows 10 Home in S Mode with Office 365 Personal for one year (14-cb010nr, Aqua Blue)",B07JHYXR4T,7.5,1 Lithium Polymer batteries required. (included),18708,HP,Integrated,Aqua Blue,Unknown,2018-11-05,32,,,8.9 x 13.27 x 0.7 ,14-cb010nr,1366 x 768 ,Windows 10 S,Battery Powered,Intel,2,8.9 x 13.27 x 0.7 ,,HP Stream,14
"Laptop 14 Inch, Windows 10, 6GB RAM, 128GB SSD Storage, Intel Celeron Processor N3350, Touch Numeric Keypad, Webcam Baffle, Winbook 140, Space Grey",B08HRM36NG,,1 Lithium ion batteries required. (included),25414,Winnovo,,Gray,DDR3 SDRAM,2020-11-05,,Intel HD Graphics 505,PC,13.46 x 9.06 x 0.35 ,WinBook-140,1366 x 768 ,Windows 10,AC & Battery,Intel,2,13.46 x 9.06 x 0.35 ,1366 x 768,WinBook 140,14
"Microsoft Surface Laptop 3 13.5"" 2256x1504 Touchscreen Laptop, Intel i5-1035G7, Quad-Core, 8GB RAM 256GB SSD, Iris Plus Graphics, Webcam, Bluetooth, Windows 10 Pro - Matte Black",B08N51D625,11.5,1 Lithium ion batteries required. (included),10251,Microsoft,,Matte Black,DDR4 SDRAM,2020-11-10,,Intel Iris Plus Graphics,PC,12.1 x 8.8 x 0.57 ,PKU-00022,2256x1504 MP,Windows 10 Pro,Battery Powered,Intel,1,12.1 x 8.8 x 0.57 ,2256 x 1504,Surface Laptop 3,13.5
"Lenovo 15.6"" High Performance Laptop, Intel Celeron 42050U Dual-Core Processor, 4GB DDR4 RAM, 128GB SSD, Webcam, Wireless+Bluetooth, HDMI, Window 10 (Intel Processor)",B07VWKY3WB,,1 Lithium Polymer batteries required. (included),20801,Lenovo,Integrated,Abyss Blue,DDR4 SDRAM,2019-07-31,128,Intel,PC,,,,Windows 10,AC & Battery,Intel,4,,,Lenovo,15.6
"MSI GF75 Thin Gaming Laptop, 17.3"" FHD 120Hz IPS Screen,Intel Core i5-10300H Processor Up to 4.50 GHz, NVIDIA GTX 1650 Graphics, 8GB RAM,512GB PCIe SSD, Webcam,Wireless-AC,Bluetooth,Win10 Home,Black",B08FF358SW,,1 Lithium Metal batteries required.,12999,MSI,,Black,DDR4 SDRAM,2020-08-05,512,"GeForce GTX 1650, 4GB GDDR6",PC,15.63 x 10.24 x 0.9 ,10SCXR,1920 x 1080 ,Windows 10,Battery Powered,Intel,4,15.63 x 10.24 x 0.9 ,,10SCXR,17.3
"Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black",B086MGYM49,,1 Lithium ion batteries required. (included),2140,Razer,Dedicated,,DDR4 SDRAM,2020-04-02,16,NVIDIA GeForce RTX 2060,PC,13.98 x 0.78 x 9.25 ,RZ09-03286E22-R3U1,1920 x 1080 ,Windows 10,,Intel,6,13.98 x 0.78 x 9.25 ,,Blade 15,15.6
"11.6 inch Laptop Computer Intel Celeron N3450 Windows 10 in S Mode Flex 2-in-1 Convertible Laptop Touchscreen 8 GB RAM 256 GB Storage, Support Angle up to 360 Degrees, Type C, WiFi, Bluetooth Blue",B08RDMS596,,2 Lithium Polymer batteries required. (included),7772,AWOW,Integrated,Blue,DDR4 SDRAM,2020-12-28,256,Intel,PC,,1106,1920 x 1080 ,Windows 10,,Intel,4,,,VT11,11.6
"Dell XPS7390 13"" InfinityEdge Touchscreen Laptop, Newest 10th Gen Intel i5-10210U, 8GB RAM, 256GB SSD, Windows 10 Home",B07ZSFXPZX,,1 Lithium ion batteries required. (included),2228,Dell,"Intel Integrated Graphics, Integrated","FHD, 256GB, 8GB RAM, i5-10210U, WIN 10 HOME",DDR3 SDRAM,2019-10-30,256,Intel® UHD Graphics,PC,11.7 x 8.2 x 0.5 ,R8-CFVU-AFAU,3840 x 2160 ,Windows 10 Pro,Battery Powered,Intel,4,11.7 x 8.2 x 0.5 ,1920x1080,XPS13 7390,13.3
"Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD | WiFi | HDMI | Card Reader | Bluetooth | Windows 10 | Silver",B07ZV8LQSC,7,1 Lithium Polymer batteries required. (included),6226,HP,,Silver,DDR4 SDRAM,2019-11-01,256,Intel UHD Graphics,PC,12.75 x 8.85 x 0.7 ,HP,1366 x 768,Windows 10,AC & Battery,Intel,4,12.75 x 8.85 x 0.7 ,1366 x 768,HP,14
"2020 Dell Inspiron 14"" Laptop Computer 10th Gen Intel i3 1005G1 Up to 3.4GHz 4GB DDR4 RAM 128GB PCIe SSD Untel UHD Graphics HDMI 802.11ac WiFi Bluetooth 4.1 Windows 10",B081ZFFJ46,,1 Lithium Metal batteries required.,22008,Dell,Integrated,Black,DDR4 SDRAM,2019-11-25,128,Intel UHD Graphics,PC,13.22 x 9.17 x 0.8 ,i3493-3464BLK-PUS,1366 x 768,Windows 10,Corded-Electric,Intel,4,13.22 x 9.17 x 0.8 ,1366x768,I3493-3464BLK-PUS,14
"OEM Lenovo ThinkPad E14 14"" FHD Display 1920x1080 IPS, Intel Quad Core i5-10210U, 16GB RAM, 250GB SSD, W10P, Business Laptop",B07HZJJD97,,,17351,Oemgenuine,Integrated,Black,SODIMM,2018-02-01,250,Intel UHD,PC,12.8 x 9.13 x 0.7 ,E14,1920x1080,Windows 10 Pro,AC & Battery,Intel,4,12.8 x 9.13 x 0.7 ,,ThinkPad E14,14
"HP Stream 14inch Laptop, AMD A4-9120 Processor, 4GB DDR4 RAM, 32GB SSD, AMD Radeon R3 Graphics, WiFi, Bluetooth, HDMI, Win10 (Renewed) (Black/A4-9120)",B082793N2H,,1 Lithium ion batteries required. (included),17599,HP,Integrated,,DDR4 SDRAM,2019-12-01,32,AMD,PC,13.27 x 8.88 x 0.73 ,HP 14inch Stream,1366 x 768 ,Windows 10,Battery Powered,AMD,2,13.27 x 8.88 x 0.73 ,1366x768,HP 14inch Stream,14
"2020 HP Pavilion x360 2-in-1 Laptop Computer/ 14"" Full HD Touchscreen/ 10th Gen Intel Core i5-10210U Up to 4.1GHz/ 8GB DDR4 Memory/ 256GB PCIe SSD + 16GB Optane/ AC WiFi/ HDMI/ Gold/ Windows 10",B081CRKQ9R,,1 Lithium ion batteries required. (included),19356,HP,,,DDR4 SDRAM,2019-11-12,256,Intel UHD Graphics,PC,14.02 x 10.2 x 0.82 ,HP Pavilion x360,1920x1080,Windows 10,Battery Powered,Intel,4,14.02 x 10.2 x 0.82 ,1920x1080,HP Pavilion x360,14
"Dell Latitude E5570 15.6in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)",B07GCRW5BM,,1 Lithium ion batteries required.,6564,Dell,Integrated,,DDR4 SDRAM,2018-08-11,256,Intel HD Graphics 520,PC,,,,Windows 10,,Intel,2,,,Dell Latitude,15.6
"2018 HP 14 Chromebook 14"" HD Touchscreen Widescreen Laptop Computer, Intel Celeron N3350 up to 2.4GHz, 4GB Memory, 32GB eMMC Flash Memory, 802.11ac, Bluetooth, USB-C 3.1, No Optical Drive, Chrome OS",B07BQJWZ6G,,1 A batteries required.,2360,,,,,,,,,,Chromebook 14 G5,,,,,,13.3 x 8.9 x 0.7 ,,,
"Evoo Gaming 15.6” Laptop, FHD, 120Hz, AMD Ryzen 7 4800H Processor, NVIDIA GeForce RTX 2060, THX Spatial Audio, 512GB SSD, 16GB RAM, RGB Backlit Keyboard, HD Camera, Windows 10 Home, Black (EG-LP7-BK)",B08KV8HP98,,1 Lithium Polymer batteries required. (included),17965,Evoo,Integrated,,DDR4 SDRAM,2020-10-07,512,NVIDIA GeForce RTX 2060,,,EG-LP7-BK,1920 x 1080,Windows 10 Home,,AMD,8,,,EVOO Gaming Laptop,15.6
"ASUS - FX505DD 15.6"" Gaming Laptop - AMD Ryzen 5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive - Black",B07V336VJJ,,1 Lithium Polymer batteries required.,10660,ASUS,Dedicated,,DDR DRAM,2019-07-08,256,NVIDIA GeForce GTX 1050,PC,14.2 x 10.3 x 1.1 ,FX505DD-DR5N6,1920 x 1080,Windows 10,,AMD,2,14.2 x 10.3 x 1.1 ,,FX505DD-DR5N6,15.6
"Dell Inspiron 11 3195, 2 in 1, 7th Gen AMD A9-9420e W/ Radeon R5 Graphics, 4GB DDR4 2666MHz RAM, 64GB HD, 11.6"" HD (1366 X 768) LED-Backlit Touch Display (i3195-A525GRY-PUS)",B07S37WHS5,,1 Lithium Polymer batteries required. (included),4165,Dell,Integrated,,DDR4 SDRAM,2019-05-22,4,AMD Radeon R5,,,i3195-A525GRY-PUS,1366 x 768,Windows 10 Home,,AMD,1,,,Inspiron 11 3195 2 in 1,11.6
"ASUS VivoBook Flip 14 Thin & Light 2-in-1 Laptop, 14” FHD Touchscreen, Intel Celeron Dual Core N4000 Processor, 4GB RAM, 64GB Storage, Fingerprint Reader, Windows 10 in S Mode, J401MA-YS02",B07JBJM275,,1 Lithium Polymer batteries required. (included),6825,ASUS,Integrated,,DDR4 SDRAM,2018-06-29,64,Intel UHD Graphics 600,PC,12.9 x 8.9 x 0.6 ,J401MA-YS02,1920 x 1080 ,Windows 10 S,,Intel,2,12.9 x 8.9 x 0.6 ,1920x1080 pixels,VivoBook Flip 14,14
"MSI Modern 14 A10M-460 14"" Ultra Thin and Light Professional Laptop Intel Core i5-10210UUMA 8GB DDR4 512GB NVMe SSD Win10 Home Carbon Gray",B07WC93HJB,10,1 Lithium Polymer batteries required. (included),23879,MSI,Dedicated,Carbon Gray,SODIMM,2019-08-21,512,UMA,PC,12.68 x 8.74 x 0.63 ,Modern 14 A10M-460,1920 x 1080 ,Windows 10 Home,AC & Battery,Intel,6,12.68 x 8.74 x 0.63 ,1920 x 1080,Modern 14 A10M-460,14.1
Dell XPS 7390 Laptop 13.3 Intel Core i5 10th Gen i5-10210U Dual Core 256GB SSD 8GB 1920x1080 FHD Touch Windows 10 Home (Renewed),B085VRKX1D,,,52095,Dell,"Intel Integrated Graphics, Integrated",Silver,DDR4 SDRAM,2020-03-13,256,Intel,PC,11.7 x 8.2 x 0.5 ,,1920x1080,Windows 10 Home,Battery Powered,Intel,4,11.7 x 8.2 x 0.5 ,1920x1080,XPS13 7390,13.3
"2019 ASUS VivoBook F510QA 15.6” WideView FHD Laptop Computer, AMD Quad-Core A12-9720P up to 3.6GHz, 12GB DDR4 RAM, 128GB SSD + 1TB HDD , USB 3.0, 802.11ac WiFi, HDMI, Windows 10",B07TXDGVSW,,1 Lithium ion batteries required. (included),41611,ASUS,Dedicated,,DDR4 SDRAM,2019-07-02,128,AMD Radeon R7,PC,14.2 x 10.1 x 0.8 ,VivoBook F510QA,1920 x 1080,Windows 10,Battery Powered,Intel,4,14.2 x 10.1 x 0.8 ,1920 x 1080,VivoBook F510QA,15.6
"Microsoft Surface Laptop 2 (Intel Core i5, 8GB RAM, 256 GB)  - Black",B07K2F1S4N,14.5,1 Lithium Metal batteries required. (included),4795,Microsoft,Integrated,Platinum,DDR DRAM,2018-10-31,,Intel UHD Graphics 620,PC,13.5 x 2 x 10 ,DAG-00114,2256 x 1504 ,Windows 10 Home,Battery Powered,Intel,2,13.5 x 2 x 10 ,2256 x 1504,DAG-00114,13.5
"CHUWI AeroBook Pro 13.3 inch 8th Intel Core M3-8100Y 8GB RAM 256GB SSD Laptop,Windows 10 Notebook,Thin and Lightweight Notebook with Backlit Keyboard Type-C",B08CDK1N5Q,,,6962,CHUWI,Integrated,AeroBook Pro,DDR4 SDRAM,2020-06-30,256,Intel HD Graphics 615,PC,12 x 8.27 x 0.63 ,AeroBook Pro,1920 x 1080 ,Windows 10,,Intel,4,12 x 8.27 x 0.63 ,1920x1080,Aerobook Pro,13.3
"Lenovo Flex 14 2-in-1 Convertible Laptop, 14.0"" FHD (1920 X 1080) Display, 10th Gen Intel Core i7-10510U Processor, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 10, 81XG0005US, Onyx Black",B07XH9Q6H8,8,1 Lithium Polymer batteries required. (included),21444,Lenovo,Integrated,Black,DDR4 SDRAM,2019-09-05,,,PC,12.91 x 9.02 x 0.7 ,81XG0005US,1920 x 1080 ,Windows 10,Battery Powered,Intel,1,12.91 x 9.02 x 0.7 ,,Flex 14,14
"New HP 14-dq0005cl Laptop with Office 365 14"" 4GB RAM 64GB 14-dq0005cl",B086SFQVDX,,1 Lithium ion batteries required. (included),15037,HP,,Black,DDR DRAM,2020-04-05,64,Intel UHD Graphics 605,PC,12.76 x 8.86 x 0.71 ,14-dq0005cl,1920 x 1080 Lines Per Inch,Windows 10,,Intel,2,12.76 x 8.86 x 0.71 ,,14-dq0005cl,14
