Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
"Lenovo Legion Y7000 Gaming Laptop: Intel Core i7-8750H, 16GB RAM, 256GB SSD + 1TB HDD, NVidia GeForce GTX 1060 6GB, 15.6"" Full HD Display",B07K9JH8CL,5,1 Lithium Polymer batteries required. (included),46465,Lenovo,Dedicated,Black,DDR4 SDRAM,2018-11-08,256,NVIDIA GeForce GTX 1060,PC,10.2 x 14.88 x 0.87 ,Y7000P-1060,,Windows 10,Battery Powered,Intel,6,10.2 x 14.88 x 0.87 ,1920x1080,Y7000,15.6
"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 64GB eMMC Gigabit Wi-Fi -XE350XBA-K02US",B07XQQRCG5,5,1 Lithium ion batteries required. (included),11923,Samsung Electronics,Integrated,Silver,DDR4 SDRAM,2019-10-07,,,,14.16 x 9.64 x 0.65 ,XE350XBA-K02US,,Chrome OS,Battery Powered,Intel,1,14.16 x 9.64 x 0.65 ,,Chromebook 4+,15.6
"Dell XPS 7390 Laptop Intel Core(TM) i5-10210U Processor 4GB LPDDR3 4GB LPDDR3 13.3"" FHD (1920 x 1080) InfinityEdge Touch Display",B08H75VDQV,,,215975,Dell,,,DDR3 SDRAM,2020-09-02,,Intel(R) UHD Graphics,PC,,Dell 7390,1920 x 1080 ,Windows 10,,Intel,2,,,Dell XPS,13.3
Dell Inspiron i3541-1001BLK Laptop Computer 15.6 LED Backlit Screen AMD A6 Procesor 4GB Memory 500GB Hard Drive Windows 10,B018S49EVK,6.5,1 Lithium ion batteries required.,72747,Dell,Dedicated,Black,DDR3 SDRAM,2015-11-30,,AMD Radeon R4,PC,,i3541-1001BLK,1366 x 768,Other,Battery Powered,AMD,4,,1366 x 768 pixels,Inspiron,15.6
"15.4"" DELL Latitude D531 Dual Core TL-60 2GHZ 120GB 3GB Windows 7 PRO,MS Office 2007",B00MEBN5KU,,1 Lithium ion batteries required.,20747,Dell,Dedicated,,DDR2 SDRAM,2014-08-04,,,PC,,d531,1280 x 800 ,Windows 7,Battery Powered,Intel,2,,1280 x 800,Latitude,15.4
"ASUS 15.6"" IPS AMD Ryzen 5 3550H 2.1GHz NVIDIA GeForce GTX 1660 Ti 8GB Memory 512GB SSD Windows 10 Home 64-bit Gaming Laptop Model FX505DU-MB53",B07RYBB18L,,1 Lithium ion batteries required. (included),145689,ASUS,Dedicated,,DDR SDRAM,2019-09-07,512,NVIDIA GeForce GTX 1660Ti,PC,,FX505DU-MB53,1920 x 1080,Windows 10,,AMD,4,,,Gaming Laptop,15.6
"Lenovo ThinkPad X13 Yoga Gen 1 13.3"" Touchscreen 2 in 1 Notebook, Intel Core i7-10510U, 8GB RAM, 256GB SSD, Windows 10 Pro (20SX001XUS)",B08KFRTCB3,,,208358,Lenovo,,,DDR4 SDRAM,2020-09-29,256,Intel UHD Graphics,PC,,20SX001XUS,1920 x 1080 ,Windows 10 Pro,,Intel Core i7-10510U,1,,1920 x 1080,ThinkPad X13 Yoga Gen 1,13.3
"Lenovo ThinkPad T14s AMD Slim Business Laptop 14"" FHD IPS, AMD Ryzen 5 PRO 4650U, 8GB RAM, 512GB SSD, Hexa-Core up to 4.0 GHz, FP Reader, Webcam, WiFi 6, Win 10 Pro",B08SJ5891T,13,1 Lithium ion batteries required. (included),,Lenovo,,Black,SODIMM,2021-01-08,512,AMD Radeon Graphics,PC,12.95 x 8.89 x 0.63 ,20UH,4096 x 2304 ,Windows 10,AC & Battery,AMD,6,12.95 x 8.89 x 0.63 ,1920x1080,20UH,14
"Asus Vivobook S15 Thin & Light Laptop, 15.6” FHD, Intel Core I5-8265U CPU, 8GB DDR4 RAM, PCIe NVMe 512GB SSD, Windows 10 Home, S532FA-DB55, Transparent Silver (Renewed)",B07Y77TZ6Y,,,159907,ASUS,Integrated,Transparent Silver,DDR4 SDRAM,2019-09-22,512,Intel UHD Graphics 630,PC,14.1 x 9.1 x 0.7 ,,1920 x 1080 ,Windows 10 Home,,Intel,4,14.1 x 9.1 x 0.7 ,,VivoBook S15,15.6
"Dell Latitude 7400 14"" Touchscreen Notebook - 1920 X 1080 - Core i5-8365U - 8GB RAM - 256GB SSD",B00GBPDBT0,,1 Lithium ion batteries required. (included),98840,Dell,Integrated,,DDR4 SDRAM,2019-05-03,256,Intel UHD Graphics 620,PC,8.42 x 12.65 x 0.75 ,7400,1920 x 1080 ,Windows 10 Pro,Corded-Electric,Intel,1,8.42 x 12.65 x 0.75 ,,7400,14
